gene	conMean	treatMean	logFC	pValue	fdr
EVI2B	5.69926321759465	12.4715185679287	1.12978981308301	1.02020333393994e-56	3.42449935929691e-55
MYH2	0.015267119688196	0.122792594721604	3.0077237459575	1.67883796101091e-52	4.83369885122483e-51
ZCCHC24	5.18217739309577	10.9677741002227	1.08164045488043	2.59330677879803e-73	1.95376851262667e-71
GPX3	14.9058290623608	30.3722363585746	1.02687652019262	4.0101339681141e-25	3.30385338648817e-24
MMP11	40.1042398565702	87.8025945434298	1.1305088038772	5.4161516440869e-31	5.72028290073695e-30
SYNDIG1	1.33182854127394	4.35077464988864	1.70786393108981	2.94397215746569e-66	1.57177978060599e-64
TEK	1.84539002077951	3.79652601492205	1.04075413374676	3.23327764320535e-56	1.05909367438425e-54
COL1A2	228.719927202673	728.56604064588	1.67147768496917	1.75676491409422e-92	4.25419446429138e-90
AOC3	4.4467940610245	11.4063970311804	1.35900565811835	2.54837861782362e-52	7.27548682869602e-51
AQP7	0.378598843554566	1.12619476213363	1.57271443673661	4.93808300490857e-16	2.45384183325633e-15
CH25H	0.944830630089087	2.25191741915368	1.25302628205333	9.76902906469084e-45	1.98320064590228e-43
AOAH	1.76039795804009	3.64681439844098	1.05073517338558	4.06108689707153e-41	6.90130318435927e-40
NLRP3	0.554517625812918	1.16993243452116	1.07711999074302	2.88178195963662e-58	1.05053347189872e-56
CD48	3.56434902383074	7.3875074701559	1.05144907052799	9.53495317941874e-36	1.23263584429073e-34
F13A1	5.23830218797327	18.6174786547884	1.82948650986743	7.97365684910985e-93	2.00242149131072e-90
ALDH1A1	5.71668661648107	11.5390067374165	1.01326793369622	9.4657829845192e-62	4.14082203396983e-60
HSPB7	0.542910245423163	1.47490355434298	1.44183500328349	5.40559741202102e-39	8.33962531335803e-38
MRAP	0.128307700628062	0.408594741434298	1.67106287779381	4.21088353632017e-14	1.81166851637176e-13
PRG4	0.735234793518931	1.77995941853898	1.27556740340966	2.90488894181108e-20	1.86874757779412e-19
TNFSF11	0.457062156585746	0.946645911714922	1.05043452060742	1.26695035048885e-33	1.49531015691726e-32
KERA	0.189660506391982	0.90434988944098	2.25346176065863	8.43886347845491e-69	5.06369148811182e-67
FBN1	9.62716940979955	31.3066381135857	1.70128500906741	4.02374109306942e-103	2.59837871252926e-100
OMD	2.07546901855679	8.89904927216036	2.10021381796986	7.72053817450048e-84	1.13802411070001e-81
CASQ2	0.413561410576837	0.939675389289532	1.18406089005446	2.45889745314806e-25	2.04696797803197e-24
DPT	8.39932979242762	33.0853343184855	1.97784573702037	5.00231843431848e-89	9.69092004111327e-87
MMP9	34.4309613830735	88.7799149804009	1.36652686259935	1.12797904881117e-07	2.84110770448148e-07
COL6A3	36.662194113363	100.665356659243	1.45720224026522	1.36283646011737e-97	5.28040721018619e-95
GIMAP5	0.154744030790646	0.347853105097996	1.16859443998713	8.35950054125305e-33	9.47852732775356e-32
THBS4	7.34466169570156	21.077902064588	1.52096333404893	7.68846030208743e-37	1.06499703939334e-35
GPIHBP1	0.845436649398664	2.18985531021604	1.37306699094349	5.23619913325434e-27	4.70875971127733e-26
ICAM3	0.443523345135857	0.944797394652561	1.0909949427001	7.02742551073965e-35	8.80766334114052e-34
C2CD4B	0.71691998674833	1.43879844104677	1.00498048317759	3.06810901060531e-14	1.33398461595954e-13
FCN1	0.476351122365256	1.02066728011804	1.09941535596535	9.0869232266891e-21	6.01111053059175e-20
CPZ	0.130215917443207	0.347897800222717	1.41775774408811	1.5510519856887e-62	7.05832750937062e-61
CRP	0.011472313064588	0.0229727902026726	1.00176979357753	7.74084774512775e-10	2.37443194462062e-09
NR4A3	0.674387262928731	1.56992480556793	1.21904626660098	3.65657255923297e-20	2.3389990790452e-19
DCSTAMP	0.245624224694878	0.513364035971047	1.06352937702013	4.62769001107048e-17	2.45428643880042e-16
CD79A	6.36063706859688	12.9259301039644	1.02302492019172	1.12401910124007e-18	6.61868129913877e-18
FILIP1L	4.31919624120267	10.1639439265033	1.23462554981468	2.9810641176708e-91	6.62724762290717e-89
EBF3	0.620866760289532	1.25531257037862	1.01569103669471	4.36105189547199e-50	1.12220540331111e-48
